0.13, 0, 0, 5, 0.1028533, 0, 1002.413, -2811.316, -2.961042, 0.001233003, 0.03962206, 41.79023, 0.8711591, 0.6355324, 0.2288172
0.6099997, 0.1921742, 0.0002020344, 5, 0.09826307, -0.0062637447544706218085627942, 24116.28, -2957.034, -2.961042, 0.001233003, 0.03962206, 205.505, 0.8708006, 0.6151055, 0.2425631
 
0.6199997, 0.1255236, 0.002123776, 5, 0.09832294, -0.0052253017960763582953176049, 24902.59, -2960.198, -2.961042, 0.001233003, 0.03962206, 208.8472, 0.87086, 0.61468, 0.2428495
 
0.6299997, 0.06455293, 0.003379012, 5, 0.09838264, -0.0040066759234552272517012658, 25701.26, -2963.368, -2.961042, 0.001233003, 0.03962206, 212.1892, 0.8709297, 0.6142544, 0.2431359
 
0.6399997, 0.01049746, 0.004024541, 5, 0.09844344, -0.0026975198785184486434126275, 26512.23, -2966.543, -2.961042, 0.001233003, 0.03962206, 215.531, 0.8710046, 0.6138288, 0.2434223
 
0.6499997, -0.03559451, 0.004129515, 5, 0.09850131, -0.0013785817069985623450206179, 27335.49, -2969.724, -2.961042, 0.001233003, 0.03962206, 218.8724, 0.8710801, 0.6134033, 0.2437086
 
0.6599997, -0.07299231, 0.00377357, 5, 0.09856167, -0.0001179895198123772796731218, 28171, -2972.909, -2.961042, 0.001233003, 0.03962206, 222.2135, 0.8711523, 0.6129777, 0.243995
 
0.6699997, -0.1013508, 0.003043647, 5, 0.09862185, 0.0010312400153946969495979819, 29018.72, -2976.1, -2.961042, 0.001233003, 0.03962206, 225.5541, 0.8711, 0.6125522, 0.2442814
 
0.6799996, -0.120559, 0.002030139, 5, 0.09867904, 0.0020269402963061560211472563, 29878.61, -2979.296, -2.961042, 0.001233003, 0.03962206, 228.8942, 0.871043, 0.6121266, 0.2445678
 
0.6899996, -0.1309014, 0.0008245489, 5, 0.09873877, 0.0028408140429715422808674637, 30750.62, -2982.497, -2.961042, 0.001233003, 0.03962206, 232.2337, 0.8709964, 0.611701, 0.2448541
 
